year,community_area,primary_type,not_arrests,arrests,incidents,community_name,acs_year,total_population,arrest_rate,incidents_per_100k
2021,29,Weapons Violation,135,344,479,North Lawndale,2023,30355,71.82,1577.99
2021,30,Arson,17,0,17,South Lawndale,2023,69554,0.0,24.44
2021,30,Assault,333,30,363,South Lawndale,2023,69554,8.26,521.9
2021,30,Battery,640,143,783,South Lawndale,2023,69554,18.26,1125.74
2021,30,Burglary,67,4,71,South Lawndale,2023,69554,5.63,102.08
2021,30,Concealed Carry License Violation,0,1,1,South Lawndale,2023,69554,100.0,1.44
2021,30,Criminal Damage,472,8,480,South Lawndale,2023,69554,1.67,690.11
2021,30,Criminal Sexual Assault,25,4,29,South Lawndale,2023,69554,13.79,41.69
2021,30,Criminal Trespass,34,11,45,South Lawndale,2023,69554,24.44,64.7
2021,30,Deceptive Practice,217,1,218,South Lawndale,2023,69554,0.46,313.43
2021,30,Homicide,14,6,20,South Lawndale,2023,69554,30.0,28.75
2021,30,Interference With Public Officer,0,2,2,South Lawndale,2023,69554,100.0,2.88
2021,30,Intimidation,3,1,4,South Lawndale,2023,69554,25.0,5.75
